time_in_shelter_days,age_upon_outcome_(years),age_upon_outcome_(days)
2.23,1,365
0.01,2,730
26.23,0.164383562,60
93.07,0.328767123,120
24.24,0.164383562,60
44.98,0.164383562,60
44.99,0.164383562,60
48.04,0.164383562,60
44.98,0.164383562,60
21.47,2,730
5.17,0.082191781,30
49.03,7,2555
21.21,7,2555
8.44,0.821917808,300
8.44,0.821917808,300
0.1,8,2920
7,0.821917808,300
41.15,1,365
8.32,4,1460
18.96,2,730
14.17,2,730
0.13,0.082191781,30
0.85,1,365
0.01,1,365
5.13,2,730
3.94,1,365
7.07,0.493150685,180
0.01,1,365
0.03,2,730
3.86,1,365
3.94,1,365
12.03,3,1095
6.28,1,365
2.98,0.739726027,270
5.1,0.657534247,240
5.1,0.657534247,240
6.04,1,365
3.11,2,730
96.76,0.328767123,120
10.92,2,730
4.8,0.246575342,90
0.62,4,1460
3.36,2,730
18.19,0.246575342,90
0.34,0.019178082,7
4.09,1,365
0.92,0.821917808,300
0.28,4,1460
6.05,1,365
0.04,17,6205
7.53,0.246575342,90
10.31,3,1095
78.13,5,1825
5.89,0.082191781,30
7.15,0.076712329,28
0.88,1,365
0.96,8,2920
0.84,1,365
0.88,2,730
10.22,2,730
0.03,0.739726027,270
63.9,0.246575342,90
0.05,3,1095
0.27,1,365
8.97,0.082191781,30
7.45,0.082191781,30
0.83,1,365
5.21,0.246575342,90
0.94,0.082191781,30
23,1,365
0.8,5,1825
0.03,1,365
5.01,10,3650
6.08,3,1095
3.94,3,1095
30.94,14,5110
0.18,9,3285
25.07,3,1095
4.13,1,365
5.81,1,365
7.76,2,730
59.08,1,365
3.73,1,365
6.82,1,365
0.44,1,365
0.01,1,365
8.15,1,365
0.17,1,365
95,0.246575342,90
8.02,2,730
17.24,0.657534247,240
5.06,0.657534247,240
4.29,2,730
69.04,0.246575342,90
0.99,0.076712329,28
0.99,0.076712329,28
0.99,0.076712329,28
1.95,2,730
2.8,2,730
5.28,2,730
8.04,5,1825
1.18,0.082191781,30
6.04,2,730
1.21,11,4015
43.18,2,730
66.16,0.410958904,150
40.08,0.493150685,180
54.23,0.328767123,120
4.23,0.246575342,90
4.25,1,365
2.99,1,365
5.15,0.821917808,300
1.01,1,365
43.98,1,365
9.9,0.328767123,120
5.08,1,365
13.17,5,1825
14.11,5,1825
5.1,0.493150685,180
6.31,0.246575342,90
4.96,0.246575342,90
3.06,0.246575342,90
17.26,1,365
14.98,0.904109589,330
0.05,0.493150685,180
2.98,1,365
16.96,5,1825
14.99,0.821917808,300
32.01,8,2920
4.97,0.246575342,90
2.38,1,365
5.43,3,1095
29.32,0.164383562,60
19.13,2,730
0.1,0.057534247,21
0.1,0.057534247,21
0.11,0.057534247,21
0.11,0.057534247,21
2.95,5,1825
12.27,5,1825
2.25,5,1825
4.32,3,1095
3.55,3,1095
2.22,3,1095
5.22,0.493150685,180
10.07,0.246575342,90
8.97,0.739726027,270
41.13,0.328767123,120
4.2,2,730
4.19,2,730
4.16,0.410958904,150
1.98,1,365
0.72,0.164383562,60
2.4,2,730
10.85,2,730
3.08,2,730
9.88,3,1095
28.85,0.164383562,60
6.1,0.164383562,60
6.02,0.164383562,60
6.02,0.164383562,60
0.16,1,365
5.94,0.164383562,60
9.94,0.410958904,150
7.01,0.164383562,60
1.96,2,730
6,0.164383562,60
13.8,3,1095
0.06,1,365
4.08,2,730
37.87,0.246575342,90
42.9,0.246575342,90
17.84,2,730
17.84,0.657534247,240
4.92,1,365
4.16,2,730
1.93,2,730
1.11,0.164383562,60
5.66,0.164383562,60
0.31,0.038356164,14
0.29,0.038356164,14
7.41,3,1095
10.04,0.739726027,270
0.03,3,1095
3.96,1,365
4.31,2,730
0.11,2,730
10.7,2,730
13.21,1,365
9.17,2,730
4.29,2,730
5.27,0.739726027,270
0.26,0.082191781,30
4.27,1,365
2.5,0.005479452,2
2.5,0.005479452,2
2.5,0.005479452,2
2.5,0.005479452,2
2.51,0.005479452,2
6.02,0.493150685,180
107.71,2,730
432.92,4,1460
0.02,1,365
10.02,0.164383562,60
0.03,2,730
4.07,1,365
12.17,2,730
10.19,2,730
13.05,2,730
1.08,8,2920
1.82,3,1095
6.11,2,730
0.95,16,5840
0.79,16,5840
0.7,1,365
4.09,3,1095
73.87,10,3650
3.81,9,3285
41.04,0.904109589,330
4,2,730
1.92,1,365
1.16,2,730
3.03,2,730
1.19,2,730
3.97,1,365
8.1,0.493150685,180
7.13,0.493150685,180
14.08,1,365
0.96,1,365
2.1,0.821917808,300
2.75,0.657534247,240
33.17,1,365
92.88,2,730
281.76,1,365
1.85,1,365
135.65,1,365
34.8,1,365
125.1,0.821917808,300
6.74,0.821917808,300
153.26,0.410958904,150
0.12,12,4380
0.02,2,730
1.04,12,4380
0.06,5,1825
4.31,0.821917808,300
6.29,0.082191781,30
6.09,0.082191781,30
8.32,0.164383562,60
30.28,1,365
16.21,0.328767123,120
80.49,1,365
5.2,0.328767123,120
0.11,1,365
24.03,0.164383562,60
21.2,0.164383562,60
43.19,1,365
10.21,0.164383562,60
10.07,0.164383562,60
3.97,0.164383562,60
6.93,0.164383562,60
17.09,0.246575342,90
9.8,3,1095
120.01,3,1095
4.94,0.164383562,60
4.94,0.164383562,60
0.06,0.057534247,21
0.06,0.057534247,21
0.06,0.057534247,21
0.06,0.057534247,21
0.06,0.057534247,21
0.06,0.057534247,21
6.04,2,730
2.19,8,2920
17.91,4,1460
5.13,1,365
9.32,5,1825
4.81,5,1825
9.32,2,730
39.71,13,4745
91.04,2,730
1.04,9,3285
5.08,1,365
2.88,0.657534247,240
132.81,0.493150685,180
0.14,1,365
3.97,0.821917808,300
13.95,3,1095
18.09,2,730
0.48,0.739726027,270
64.4,0.164383562,60
64.4,0.164383562,60
0.93,0.493150685,180
24.34,2,730
5.23,3,1095
16.11,2,730
24.27,10,3650
2.51,0.076712329,28
0.11,3,1095
4.92,10,3650
8.23,0.410958904,150
7.21,1,365
6.23,2,730
4.27,2,730
10.08,1,365
10.79,5,1825
14.05,0.575342466,210
3.18,0.328767123,120
11.04,1,365
6.85,0.328767123,120
5.91,0.328767123,120
7.13,2,730
8.07,1,365
4.13,1,365
5.03,2,730
4.09,2,730
97.75,0.328767123,120
4.92,1,365
1.12,2,730
1.52,1,365
189.32,17,6205
1.14,15,5475
1.32,3,1095
23.07,5,1825
4.08,3,1095
8.07,3,1095
27.25,2,730
20.71,1,365
63.05,0.246575342,90
16.93,1,365
33.06,1,365
21.47,6,2190
12.21,7,2555
6.02,2,730
1.25,1,365
1.13,4,1460
1.18,2,730
150.25,0.410958904,150
4.16,2,730
37.92,0.164383562,60
29.2,0.082191781,30
5.13,2,730
5.13,2,730
25.08,0.493150685,180
6.82,0.821917808,300
0.03,0.082191781,30
13.04,2,730
38.95,0.246575342,90
0.01,10,3650
36.15,2,730
4.12,2,730
0.05,8,2920
1.03,1,365
7.92,1,365
16.88,12,4380
3.25,0.164383562,60
7.09,0.164383562,60
12.06,0.164383562,60
12.06,0.164383562,60
5.25,0.904109589,330
1,0.575342466,210
11.78,15,5475
7.02,2,730
6.72,2,730
37.34,0.246575342,90
4.15,0.328767123,120
4,2,730
4.14,0.328767123,120
6.3,0.246575342,90
35.24,0.164383562,60
37.1,0.164383562,60
35.28,0.164383562,60
0.98,0.164383562,60
34.29,0.164383562,60
20.71,1,365
62.07,0.246575342,90
33.99,3,1095
33.15,3,1095
47.25,0.082191781,30
54,0.164383562,60
4.96,3,1095
5.99,2,730
5.99,2,730
0.15,1,365
153.45,4,1460
2.99,12,4380
12.05,0.657534247,240
1.14,4,1460
1.14,1,365
0.37,4,1460
11.24,2,730
28,0.246575342,90
1.04,0.076712329,28
1.01,12,4380
1.97,2,730
3.83,0.821917808,300
0.29,0.410958904,150
5.35,0.164383562,60
36.09,0.246575342,90
10.3,0.164383562,60
36.09,0.246575342,90
5.3,1,365
1.26,7,2555
40.14,1,365
0.16,8,2920
5.45,6,2190
3.19,1,365
5.09,2,730
14.25,2,730
13.15,2,730
4.23,0.410958904,150
5.21,0.410958904,150
4.04,0.657534247,240
32.96,8,2920
1.14,0.410958904,150
26.16,0.164383562,60
79.89,3,1095
35.94,4,1460
5.16,4,1460
0.1,4,1460
0.04,3,1095
1.87,3,1095
2.05,6,2190
3.83,1,365
4.34,0.657534247,240
4.14,0.657534247,240
5.32,5,1825
10.3,5,1825
36.87,5,1825
0.69,0.493150685,180
2.01,0.410958904,150
0.01,1,365
0.01,1,365
2.2,13,4745
1.15,5,1825
0.1,5,1825
2.86,5,1825
24.39,0.328767123,120
1.03,7,2555
0.63,7,2555
42.19,2,730
32.43,0.904109589,330
20.34,4,1460
51.03,1,365
62.32,0.739726027,270
4.36,6,2190
29.19,1,365
1.25,0.493150685,180
0.03,10,3650
40.29,2,730
19.16,2,730
5.17,0.246575342,90
5.24,2,730
4.23,2,730
19.08,0.164383562,60
13.12,0.164383562,60
21.2,0.164383562,60
13.2,0.164383562,60
10.11,0.164383562,60
4.23,2,730
0.15,4,1460
3.8,0.575342466,210
0.16,0.038356164,14
0.16,0.038356164,14
0.16,0.038356164,14
9.05,0.410958904,150
45.11,2,730
24.82,8,2920
5.09,1,365
1.93,9,3285
4.12,0.821917808,300
4.13,2,730
28.76,0.082191781,30
2.29,0.410958904,150
50,0.164383562,60
63.8,0.246575342,90
47.87,0.164383562,60
3.05,0.410958904,150
4.13,0.410958904,150
0.87,0.246575342,90
47.09,0.246575342,90
47.87,0.164383562,60
32.9,0.164383562,60
33.7,0.164383562,60
28.77,0.082191781,30
28.77,0.082191781,30
48.03,2,730
20.04,2,730
5.14,2,730
29.88,2,730
4.07,0.821917808,300
0.79,5,1825
6.11,0.410958904,150
3.31,3,1095
1.03,0.164383562,60
5.25,0.164383562,60
9.23,2,730
4.27,2,730
5.29,0.493150685,180
35.01,0.164383562,60
34.28,0.164383562,60
4.49,1,365
0.96,0.904109589,330
2.23,0.575342466,210
20.84,1,365
2.28,1,365
19.13,0.082191781,30
19.13,0.082191781,30
10.05,5,1825
63.96,0.246575342,90
8.16,6,2190
0.92,1,365
0.19,5,1825
5.19,1,365
8.06,4,1460
2.89,2,730
44.02,6,2190
264.92,1,365
52.05,0.904109589,330
78.09,2,730
8.13,2,730
5.04,0.328767123,120
9.89,2,730
4.12,2,730
47.81,0.164383562,60
3.9,2,730
3.22,2,730
8.77,4,1460
2.14,7,2555
2.32,9,3285
4.34,0.246575342,90
0.18,0.019178082,7
0.18,0.019178082,7
0.18,0.019178082,7
0.18,0.019178082,7
5.07,0.657534247,240
0.18,0.019178082,7
0.18,0.019178082,7
0.18,0.019178082,7
70.08,7,2555
139.13,8,2920
4.33,0.246575342,90
0.78,0.328767123,120
4.33,0.246575342,90
3.25,2,730
59.93,1,365
4.2,1,365
0.22,2,730
8.24,0.164383562,60
0.02,4,1460
4.18,1,365
9.99,1,365
12.18,0.821917808,300
4.25,2,730
4.25,2,730
4.23,0.493150685,180
4.23,0.493150685,180
29.42,0.164383562,60
20.02,0.164383562,60
4.15,0.821917808,300
0.14,2,730
0.03,0.057534247,21
0.03,0.057534247,21
451.78,3,1095
3.59,0.164383562,60
27.81,0.164383562,60
19.15,4,1460
4.01,0.082191781,30
4.07,2,730
63.69,1,365
77.74,1,365
7.34,0.082191781,30
25.01,2,730
0.01,0.493150685,180
37.15,0.657534247,240
28.2,0.575342466,210
70.31,2,730
8.31,2,730
12.71,2,730
6.87,2,730
4.03,0.410958904,150
7.12,0.821917808,300
8.21,0.739726027,270
4.33,1,365
4.11,4,1460
4.33,4,1460
1.12,0.493150685,180
4.99,2,730
4.14,2,730
30.47,2,730
0.01,1,365
35.18,1,365
11.11,4,1460
5.97,4,1460
0.08,1,365
32.05,1,365
74.06,0.246575342,90
32.05,1,365
4.27,2,730
28.4,1,365
30.95,2,730
7.11,1,365
32.12,0.246575342,90
14.14,0.164383562,60
6.08,0.410958904,150
7.08,2,730
1.9,10,3650
9.16,1,365
0.99,2,730
8.95,2,730
16.09,10,3650
6.34,9,3285
3.16,3,1095
3.82,2,730
2.09,0.410958904,150
6.02,2,730
8.9,1,365
0.01,2,730
5.38,2,730
11.39,4,1460
3.18,1,365
1.3,3,1095
21.15,0.657534247,240
7.53,0.657534247,240
4.36,2,730
8.27,0.246575342,90
5.11,2,730
0.01,2,730
28.11,2,730
3.16,2,730
3.16,2,730
4.3,1,365
27.23,0.164383562,60
28.22,0.164383562,60
3.09,2,730
7.07,2,730
4.99,0.493150685,180
29.17,0.164383562,60
7.16,0.164383562,60
4.96,0.246575342,90
4.96,0.246575342,90
28.23,0.164383562,60
5.35,0.410958904,150
47.81,8,2920
30.89,0.328767123,120
0.33,4,1460
24.28,5,1825
5.29,3,1095
11.77,0.246575342,90
11.77,0.246575342,90
6.01,0.082191781,30
8.9,8,2920
5.19,7,2555
4.8,10,3650
2.27,0.328767123,120
6.02,0.328767123,120
0.77,1,365
9.77,0.246575342,90
7.05,0.328767123,120
12.95,0.246575342,90
13.95,0.246575342,90
0.13,1,365
3.57,1,365
11.22,6,2190
6.29,3,1095
6.32,2,730
7.12,1,365
7.12,1,365
7.12,1,365
0.3,5,1825
37.09,0.082191781,30
68.32,0.164383562,60
68.18,0.164383562,60
116.27,0.328767123,120
68.32,0.164383562,60
0.24,9,3285
7.12,0.821917808,300
33.32,2,730
18.28,2,730
1.35,0.164383562,60
4.07,0.164383562,60
4.07,0.164383562,60
4.23,0.164383562,60
6.14,0.164383562,60
30.05,2,730
22.18,1,365
26.17,0.821917808,300
12.07,2,730
0.97,0.328767123,120
0.97,0.328767123,120
0.97,9,3285
33.44,0.164383562,60
33.44,0.164383562,60
6.18,0.328767123,120
2.11,0.076712329,28
0.87,1,365
9.97,1,365
1.89,1,365
5.22,1,365
5.22,1,365
0.13,1,365
173.03,0.493150685,180
173.03,0.493150685,180
173.03,0.493150685,180
173.03,0.493150685,180
1.33,0.164383562,60
5.28,10,3650
19.94,0.410958904,150
12.03,0.164383562,60
9.18,1,365
5.76,3,1095
6.09,2,730
6.29,0.410958904,150
4.92,0.082191781,30
6.23,2,730
1.14,6,2190
9,1,365
5.32,0.493150685,180
6.21,0.821917808,300
131.1,3,1095
65.28,2,730
6.15,2,730
19,2,730
0.28,1,365
1.15,1,365
5.15,1,365
10.8,2,730
11.68,2,730
22.36,2,730
5.04,0.493150685,180
12.08,0.493150685,180
11.99,0.493150685,180
36.92,2,730
4.85,1,365
3.18,8,2920
18.85,8,2920
25.07,2,730
0.19,5,1825
5.88,4,1460
28.95,1,365
7.07,0.821917808,300
5.08,0.657534247,240
0.77,3,1095
240.81,1,365
1.13,13,4745
2.41,1,365
10.25,0.164383562,60
5.38,1,365
0.12,2,730
26.05,2,730
0.14,0.002739726,1
3.9,0.164383562,60
9.99,1,365
4.33,0.246575342,90
5.33,0.246575342,90
46.84,2,730
36.09,0.164383562,60
41.86,0.164383562,60
41.85,0.164383562,60
0.11,3,1095
19.22,0.164383562,60
19.25,0.164383562,60
105.01,8,2920
5.24,0.246575342,90
5.24,0.246575342,90
5.24,0.246575342,90
2.24,3,1095
5.24,2,730
1.95,12,4380
5.1,8,2920
11.17,1,365
14.2,0.493150685,180
6.15,0.164383562,60
1.93,7,2555
5.1,0.164383562,60
3.05,10,3650
31.01,10,3650
4.98,1,365
2.29,1,365
6.05,0.164383562,60
3.81,0.821917808,300
4.05,3,1095
2.95,5,1825
15.95,8,2920
19.62,7,2555
6.83,0.246575342,90
1.14,2,730
1.06,1,365
1.09,3,1095
10.13,0.164383562,60
4.29,0.328767123,120
5.98,0.328767123,120
74.08,1,365
0.16,0.008219178,3
7.16,0.328767123,120
5.09,0.164383562,60
4.28,0.082191781,30
4.28,0.082191781,30
382.1,2,730
33.31,11,4015
23.14,0.575342466,210
2.52,0.575342466,210
38.24,0.657534247,240
31.27,0.657534247,240
5.28,1,365
6.06,0.410958904,150
5.13,2,730
20.12,5,1825
18.91,5,1825
5.15,11,4015
62.97,10,3650
72.89,10,3650
0.91,1,365
1.03,2,730
0.05,4,1460
6.84,2,730
27.11,1,365
2.1,0.410958904,150
11.01,0.410958904,150
3.13,0.410958904,150
11.9,2,730
27.11,1,365
2.11,0.410958904,150
2.08,0.410958904,150
2.16,0.410958904,150
9,3,1095
4.03,3,1095
2.1,2,730
4.16,0.328767123,120
4.16,0.328767123,120
8.87,0.246575342,90
0.03,2,730
0.03,0.082191781,30
10.06,2,730
10.19,1,365
23.94,1,365
24.08,1,365
5.08,1,365
14.81,2,730
8.86,0.493150685,180
8.86,0.493150685,180
2.1,1,365
16,1,365
10.91,4,1460
2.37,3,1095
1.24,1,365
7.01,1,365
2.03,0.246575342,90
32.06,0.328767123,120
7.02,0.657534247,240
117.91,0.410958904,150
1.04,2,730
0.98,2,730
19.19,2,730
9.2,0.739726027,270
0.11,2,730
8.06,0.164383562,60
2.15,4,1460
21.19,0.164383562,60
0.05,0.493150685,180
32.86,1,365
0.17,2,730
71.12,1,365
2.16,1,365
2.13,0.739726027,270
120.09,1,365
79.69,0.164383562,60
79.69,0.164383562,60
79.69,0.164383562,60
79.69,0.164383562,60
3.98,1,365
0.78,2,730
0.82,0.493150685,180
1.86,2,730
2.63,9,3285
1.97,2,730
8.95,2,730
8.79,1,365
0.9,3,1095
41.01,9,3285
13.19,1,365
5.3,0.164383562,60
84.2,1,365
0.01,10,3650
11.27,0.246575342,90
14.06,0.246575342,90
7.96,3,1095
5.19,0.164383562,60
3.63,0.01369863,5
8.18,0.493150685,180
1.69,0.076712329,28
70.14,0.328767123,120
10.01,1,365
0.08,2,730
7.01,1,365
390.86,3,1095
4.88,1,365
7.16,2,730
7.87,0.410958904,150
6.12,0.410958904,150
0.82,1,365
4.05,0.493150685,180
35.17,1,365
8.17,0.164383562,60
15.81,0.246575342,90
8.17,0.164383562,60
20.17,0.246575342,90
12.88,0.246575342,90
8.17,0.164383562,60
47.06,1,365
4.37,2,730
8.08,0.164383562,60
4.08,4,1460
0.36,3,1095
4.18,3,1095
0.16,2,730
6.17,3,1095
60.2,6,2190
0.01,1,365
6.91,0.410958904,150
75.13,2,730
27.93,2,730
14.13,2,730
260.97,3,1095
7.14,2,730
5.92,0.164383562,60
0.93,16,5840
5.96,0.575342466,210
1.04,1,365
103.99,1,365
10.75,0.246575342,90
4.14,1,365
4.14,0.657534247,240
4.99,0.164383562,60
10.99,0.164383562,60
27.9,2,730
27.9,2,730
10.94,1,365
10.08,0.246575342,90
0.05,10,3650
12.95,1,365
9.91,4,1460
4.98,0.657534247,240
12.97,4,1460
0.92,0.739726027,270
19,2,730
4.8,2,730
17.2,4,1460
1.86,2,730
0.07,5,1825
5.03,2,730
5.03,0.038356164,14
5.03,0.038356164,14
5.03,0.038356164,14
5.03,0.038356164,14
5.03,0.038356164,14
38.18,5,1825
179.11,3,1095
0.16,0.164383562,60
4.06,11,4015
15.03,11,4015
35.05,1,365
1.08,3,1095
30.34,3,1095
2.1,3,1095
2.07,3,1095
0.29,1,365
1.16,1,365
23.65,2,730
1.23,3,1095
1.12,4,1460
6.21,1,365
4.19,5,1825
5.04,1,365
73.99,2,730
73.99,0.164383562,60
85.12,0.246575342,90
73.98,0.164383562,60
73.99,0.164383562,60
7.02,1,365
57.2,1,365
18.24,1,365
111.35,0.575342466,210
59.21,0.246575342,90
46.11,2,730
241.85,5,1825
5.11,0.164383562,60
4.03,3,1095
0.93,2,730
7.14,0.410958904,150
51.11,0.246575342,90
22.01,1,365
6.09,1,365
0.78,4,1460
0.84,3,1095
0.76,2,730
11.91,0.328767123,120
2.84,15,5475
2.08,1,365
4.86,1,365
10.86,5,1825
10.26,5,1825
0.19,4,1460
17.25,5,1825
0.06,9,3285
18.2,6,2190
1.17,1,365
1.31,1,365
7.03,0.246575342,90
4.33,0.246575342,90
9.15,0.821917808,300
0.07,1,365
10.01,2,730
30.04,2,730
95.26,2,730
75.1,0.328767123,120
19.09,0.164383562,60
79.04,0.328767123,120
4.18,2,730
4.25,7,2555
2.01,7,2555
10.13,7,2555
4.74,2,730
3.2,2,730
4.25,0.575342466,210
8.67,1,365
25.75,1,365
44.15,1,365
26.19,1,365
10.1,2,730
240.05,1,365
27.18,1,365
16.01,3,1095
0.04,2,730
6.13,0.739726027,270
2.94,2,730
0.84,2,730
3.08,2,730
25.07,0.821917808,300
3.83,2,730
3.83,2,730
3.83,2,730
0.14,13,4745
3.97,13,4745
16.89,0.739726027,270
0.83,1,365
13.79,0.164383562,60
92.99,0.246575342,90
3.91,2,730
4.02,0.246575342,90
4.98,0.164383562,60
4,3,1095
9.62,1,365
14.09,6,2190
15.55,2,730
6.03,0.164383562,60
12.13,0.410958904,150
4.34,2,730
11.27,0.164383562,60
0.08,0.082191781,30
0.07,0.082191781,30
4.17,6,2190
0.11,4,1460
14.05,2,730
5.23,2,730
31.16,2,730
38.09,1,365
28.13,2,730
51.12,4,1460
23.18,1,365
3.16,4,1460
0.06,2,730
4.12,0.164383562,60
0.07,0.019178082,7
0.07,0.019178082,7
0.07,0.019178082,7
0.07,0.019178082,7
0.07,0.019178082,7
0.07,0.019178082,7
0.07,0.019178082,7
0.07,0.019178082,7
6,2,730
11.15,2,730
11.17,1,365
11.88,1,365
7.13,1,365
0.78,9,3285
39.86,3,1095
16.21,4,1460
8.08,3,1095
7,0.739726027,270
0.7,0.575342466,210
4.11,0.575342466,210
0.08,0.410958904,150
2.12,9,3285
1.87,1,365
4.03,2,730
9.99,5,1825
60.92,4,1460
0.87,3,1095
46.31,3,1095
7.92,10,3650
0.07,12,4380
2.92,1,365
8.98,17,6205
30.94,3,1095
134.94,4,1460
9.17,2,730
19.95,10,3650
5.86,6,2190
23.94,6,2190
9,7,2555
10.92,7,2555
0.99,7,2555
0.88,5,1825
17.33,1,365
3.08,0.164383562,60
12.98,1,365
2.99,0.164383562,60
3.98,6,2190
0.08,5,1825
5.01,5,1825
1.98,1,365
21.08,0.493150685,180
7.24,4,1460
21.08,0.164383562,60
4.34,2,730
4.33,2,730
361.21,2,730
5.15,0.410958904,150
4.3,0.410958904,150
7.01,9,3285
54.08,2,730
0.22,3,1095
2.12,1,365
2.12,1,365
4.21,1,365
1.41,4,1460
4.22,0.657534247,240
21.09,1,365
5.92,0.082191781,30
5.09,0.164383562,60
4.19,0.493150685,180
4.2,0.493150685,180
4.89,0.164383562,60
24.11,0.328767123,120
12.85,4,1460
168.83,2,730
10.98,3,1095
27.88,2,730
24.08,0.164383562,60
11.02,0.164383562,60
13.28,2,730
4.16,2,730
4.17,3,1095
22.23,3,1095
5.18,3,1095
9.97,6,2190
5.16,0.328767123,120
8.18,1,365
48.11,12,4380
67.1,2,730
13.06,0.328767123,120
0.05,8,2920
4.08,10,3650
16.87,1,365
6.03,1,365
6.03,5,1825
6.63,1,365
187.57,7,2555
0.24,10,3650
1.13,3,1095
4.28,10,3650
0.09,0.019178082,7
4.36,0.657534247,240
1.07,1,365
6.25,2,730
0.34,2,730
6.97,1,365
8.14,1,365
16.27,7,2555
4.21,0.164383562,60
4.24,0.164383562,60
29.41,9,3285
12.23,9,3285
65.03,1,365
3.09,3,1095
83.19,1,365
21.19,1,365
3.88,2,730
11.11,7,2555
12.06,0.821917808,300
1.15,1,365
8.03,3,1095
1.89,5,1825
1.05,2,730
3.8,3,1095
1.05,2,730
6.13,0.164383562,60
0.03,0.410958904,150
2,2,730
6.3,2,730
21.95,2,730
28,2,730
10.93,1,365
0.87,2,730
0.91,2,730
2.01,3,1095
84.67,2,730
4.98,2,730
3.58,2,730
3.64,3,1095
23.3,5,1825
22.18,0.493150685,180
10.16,1,365
71.16,0.739726027,270
2.08,0.739726027,270
64.39,0.739726027,270
71.16,2,730
5.27,1,365
13.13,2,730
15.07,1,365
5.27,0.493150685,180
15.07,0.493150685,180
19.23,1,365
35.31,2,730
4.06,0.164383562,60
5.06,0.164383562,60
4.99,0.164383562,60
4.95,0.164383562,60
5,0.164383562,60
4.98,0.164383562,60
0.21,2,730
25.08,2,730
2,0.082191781,30
5.14,0.164383562,60
41.13,0.246575342,90
13.04,3,1095
4.15,0.246575342,90
5.27,0.493150685,180
4.15,0.410958904,150
29.88,7,2555
2.04,2,730
5.01,2,730
7.87,2,730
1.72,7,2555
4.24,1,365
9.33,3,1095
40.15,5,1825
0.12,0.008219178,3
17.06,5,1825
13.06,4,1460
3.82,2,730
13.05,2,730
17.28,2,730
8.04,2,730
5.15,2,730
6.12,3,1095
4.24,5,1825
1.19,2,730
1.19,2,730
4.96,0.164383562,60
4.22,0.164383562,60
6.15,0.164383562,60
0.22,3,1095
52.11,2,730
5.14,4,1460
274.91,3,1095
4.1,3,1095
35.92,3,1095
0.14,7,2555
10.98,0.821917808,300
29.39,3,1095
10.95,3,1095
13.85,3,1095
5.94,1,365
4,2,730
4,0.493150685,180
13.07,10,3650
0.81,3,1095
4.35,0.410958904,150
11.02,2,730
0.17,2,730
237,2,730
4.31,2,730
4.31,2,730
7.17,1,365
4.21,0.821917808,300
3.22,2,730
2.12,2,730
32.05,0.164383562,60
4.07,6,2190
8.92,5,1825
4.27,2,730
4.22,2,730
4.21,4,1460
17.73,0.164383562,60
7.02,0.164383562,60
2.06,0.246575342,90
6.03,0.164383562,60
9.15,2,730
9.15,2,730
4.19,2,730
4.2,1,365
4.2,1,365
5.1,0.164383562,60
5.16,0.164383562,60
5.13,0.164383562,60
6.04,5,1825
4.13,0.328767123,120
8.94,2,730
12.93,6,2190
25.58,2,730
0.38,13,4745
1.39,4,1460
7.97,4,1460
8.78,2,730
8.77,1,365
1.16,4,1460
6.13,1,365
4.34,2,730
7.05,1,365
4.34,2,730
2.09,0.739726027,270
2.09,8,2920
6.24,2,730
52.99,2,730
1.03,0.493150685,180
4.27,0.246575342,90
52.99,2,730
1.03,0.493150685,180
15.01,0.164383562,60
4.24,1,365
1.82,1,365
1,4,1460
3.23,0.821917808,300
52.92,0.164383562,60
24.98,1,365
24.98,1,365
9.14,2,730
5.9,0.410958904,150
4.19,0.493150685,180
36.07,0.739726027,270
14.92,0.657534247,240
35.1,0.739726027,270
4.11,4,1460
5.81,3,1095
71.27,2,730
2.19,8,2920
4.06,1,365
3.87,3,1095
1.75,3,1095
10.6,3,1095
0.01,7,2555
8.44,0.657534247,240
4.43,1,365
2.4,2,730
1.38,0.739726027,270
1.23,8,2920
4.3,1,365
4.32,0.328767123,120
3.26,13,4745
4.31,2,730
20.14,2,730
5.32,6,2190
78.22,9,3285
17.99,2,730
19.22,1,365
0.05,1,365
8.07,1,365
12.06,1,365
4.25,0.246575342,90
4.23,0.328767123,120
37.08,3,1095
4.93,0.246575342,90
4.99,0.246575342,90
12.97,0.246575342,90
4.15,0.904109589,330
10.78,2,730
15.02,0.904109589,330
4.03,0.246575342,90
4.13,0.328767123,120
1.01,11,4015
0.04,1,365
4.9,8,2920
17.79,2,730
0.72,8,2920
4.07,12,4380
0.05,11,4015
1.3,3,1095
0.11,1,365
8.52,0.739726027,270
8.52,0.739726027,270
4.99,0.164383562,60
2.03,2,730
6.16,0.493150685,180
1.18,14,5110
5.24,0.328767123,120
17.2,0.575342466,210
16.95,3,1095
5.12,0.821917808,300
1.03,0.328767123,120
6.92,1,365
6.92,1,365
98.17,1,365
16.02,1,365
28.06,0.328767123,120
5.99,1,365
211.67,6,2190
0.73,1,365
218.82,2,730
12.69,1,365
5.78,0.164383562,60
0.55,1,365
9.2,2,730
9.2,2,730
0.02,1,365
2.24,1,365
15.34,5,1825
5.16,2,730
3.08,0.082191781,30
0.12,1,365
4.26,1,365
5.01,4,1460
38.97,1,365
24.03,2,730
15.98,1,365
0.94,3,1095
10,0.575342466,210
4.22,2,730
1.06,2,730
1.06,0.164383562,60
1.06,1,365
15.94,1,365
19.02,7,2555
7.01,0.164383562,60
9.11,0.164383562,60
1.85,5,1825
