time_in_shelter_days,age_upon_outcome_(years),age_upon_outcome_(days)
1.82,6,2190
7.88,8,2920
0.21,11,4015
0.02,14,5110
8.09,8,2920
8.09,7,2555
10.17,5,1825
1.15,9,3285
0.24,5,1825
7.69,8,2920
224.94,7,2555
3,12,4380
0.08,6,2190
0.08,4,1460
0.22,8,2920
0.14,11,4015
2.37,5,1825
9.94,5,1825
6.65,11,4015
136.74,5,1825
0.04,10,3650
2.15,5,1825
1.09,4,1460
0.84,13,4745
2.14,7,2555
1.72,6,2190
6.05,10,3650
18.84,5,1825
29.1,5,1825
9.85,5,1825
0.02,9,3285
1.09,8,2920
10.11,10,3650
1.01,6,2190
24.97,6,2190
2.21,7,2555
1.01,7,2555
2.97,7,2555
27.28,7,2555
0.03,6,2190
0.16,5,1825
1.07,5,1825
6.9,4,1460
9.95,5,1825
219.92,6,2190
1.1,9,3285
10.39,8,2920
0.13,10,3650
133.62,4,1460
3.93,6,2190
2.85,8,2920
2.07,8,2920
5.93,7,2555
6.21,5,1825
17.15,8,2920
0.51,12,4380
9.96,7,2555
10.14,7,2555
42.08,8,2920
10.26,7,2555
4.09,5,1825
2.04,9,3285
26.02,8,2920
20.97,8,2920
59.98,4,1460
2.04,7,2555
3.03,5,1825
13.72,5,1825
34.1,8,2920
2.76,8,2920
0.09,6,2190
5.05,5,1825
0.09,7,2555
0.25,9,3285
2.13,6,2190
2.15,3,1095
2.58,1,365
0.74,0.904109589,330
2.81,0.821917808,300
9.01,8,2920
0.05,10,3650
50.08,5,1825
6.73,9,3285
0.42,8,2920
0.92,8,2920
10.95,7,2555
8.01,9,3285
44.04,4,1460
3.94,7,2555
92.88,8,2920
64.93,7,2555
0.87,7,2555
0.67,4,1460
0.71,6,2190
1.9,4,1460
12.25,8,2920
32.05,4,1460
5.9,6,2190
12.86,6,2190
11.87,5,1825
2.99,5,1825
78.16,9,3285
3.08,9,3285
30.21,4,1460
23.6,7,2555
25.95,7,2555
56.27,6,2190
7.1,6,2190
0.01,9,3285
0.74,5,1825
0.42,8,2920
2.02,5,1825
6.87,9,3285
16.2,4,1460
4.28,10,3650
3.16,5,1825
4.9,8,2920
2.94,7,2555
2.5,6,2190
12.09,6,2190
0.86,8,2920
13.12,4,1460
2.07,4,1460
0.87,6,2190
0.15,6,2190
2.23,6,2190
16.25,6,2190
0.28,5,1825
0.1,10,3650
2.83,7,2555
12.64,6,2190
