age_upon_intake_(years),time_in_shelter_days
9,0.188194444
9,10.04027778
9,5.984722222
12,0.071527778
9,16.04583333
8,25.06736111
9,1.284027778
9,14.13055556
11,2.921527778
7,0.165972222
14,0.023611111
12,54.75277778
11,0.84375
9,2.047222222
9,1.108333333
7,0.177083333
8,1.068055556
8,1.067361111
11,1.115277778
8,5.105555556
10,49.91111111
8,8.034722222
10,10.21388889
9,0.002083333
11,0.039583333
9,4.195833333
11,0.345833333
10,261.7520833
7,8.013194444
10,0.015972222
9,0.336805556
8,0.419444444
10,15.6
10,4.973611111
8,15.12361111
10,8.755555556
10,2.9125
11,2.738194444
9,1.832638889
11,0.157638889
13,0.195138889
13,0.175694444
8,0.152083333
12,0.902083333
10,40.87847222
8,61.01111111
10,641.9902778
9,0.311111111
9,6.850694444
9,18.00347222
9,10.87708333
8,0.925
9,0.331944444
3,3.103472222
10,10.9375
8,1.004861111
8,4.009027778
7,0.077083333
8,9.243055556
10,33.79791667
10,2.945833333
11,1.518055556
10,25.18541667
8,11.06597222
9,7.360416667
11,0.034722222
10,9.029166667
8,4.833333333
10,0.043055556
12,0.846527778
13,1.180555556
11,90.73402778
9,10.00833333
9,0.195138889
11,304.1861111
10,13.13541667
10,1.677777778
10,14.77291667
10,15.53472222
10,2.222916667
7,3.986111111
8,6.192361111
9,0.043055556
9,9.031944444
9,0.232638889
19,1.032638889
12,35.31388889
11,3.327083333
11,7.002777778
10,0.054861111
10,0.216666667
10,15.65486111
7,4.877777778
15,5.235416667
13,0.915972222
11,0.105555556
10,11.66736111
11,0.348611111
8,6.789583333
9,4.583333333
8,0.022916667
9,4.184027778
8,0.201388889
9,3.970833333
15,2.167361111
15,0.442361111
9,420.6090278
7,1.915277778
11,0.854166667
9,4.903472222
8,0.822916667
8,7.003472222
6,0.133333333
10,0.021527778
8,0.449305556
17,0.044444444
7,3.029166667
10,7.989583333
9,2.019444444
7,0.190972222
12,3.213888889
11,26.26666667
11,4.0875
11,26.26666667
11,4.0875
8,71.95
11,0.034722222
10,6.95625
9,3.870138889
13,0.015277778
13,0.06875
